Nº,Nombre legal,Nombre comercial,Nombre abreviado,Código fiscal,Tipo,Idioma,Estado,Razón de cambio,Fecha de fundación,Registro (número),Registro (ciudad),Objeto social,Observaciones,Categoría,Grupo Empresarial,Empresa padre,Productos,Servicios,Marcas,Certificaciones,Blog,Linkedin,Facebook,Twitter,Skype,Web,Número de impuestos,Saludo,País,Región,Provincia,Código postal,Localidad,Localidad (extensión),Dirección,Ap. Postal (número),Ap. Postal (código postal),Ap. Postal (ciudad),E-Mail 1,E-Mail 2,Teléfono 1,Teléfono 2,Móvil 1,Móvil 2,Fax 1,Fax 2,Código industrial,Código industrial,Rangos de empleados,Empleados 2018,Empleados 2017,Empleados 2016,Empleados 2015,Empleados 2014,Rango de facturación,Facturación 2018,Facturación 2017,Facturación 2016,Facturación 2015,Facturación 2014,Subsidiarias,Socio,Socio (Nr.),Membresía (Tipo),Membresía (Cargo),Cuota (Precio),Moneda de pago,Observaciones,Fecha de inicio,Fecha de fin,Razón de finalización,Factura (número),Factura (fecha),Factura (producto),Factura (valor),Pago (fecha),Pago (estado),Ejecutivo de Cuenta:,Origen del capital,Tamaño de empresa,+,-,+,-,+,-,+,-,+,-,Notas:,Observaciones,Administrador,Contacto principal,Contacto clave,Dirección General,Operaciones,Investigación,Administración,Marketing,RRHH,Finanzas,Ventas,Jurídica,Logística,Producción,Comunicación,Soporte al Cliente,IT
1,Aura Patricia Aguilar Alonzo,SERVICIOS LOGÍSTICOS INTEGRADOS - SLI,SERVICIOS LOGÍSTICOS INTEGRADOS - SLI,1546,Individual,ES,1,,18/02/2003,,,,,Servicios,,,,operador logístico,Customs/ Logistics/Multimodal Transport,,,,,,,https://www.slicentroamerica.com,9521534,,GT,,Guatemala,,Guatemala,Guatemala,"Blvd. Liberación 3-52 zona 13 Edificio Plaza Profesional Oficina 3B Ciudad, Guatemala",,,,customer@slicentroamerica.com,,23891700,,,,,,,,de 26 a 100,,,,,,"USD$101,000 - 1,200,000",,,,,,,1,,Individual,C07,0 GTQ | 0 USD | ,GTQ,,09/03/2018,,,,,,,,,"Ramírez,Mariana",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Prefabricados de Occidente, S.A",GRUPO SINPRO,GRUPO SINPRO,1545,Empresa,ES,1,,30/06/2006,,,,,Industria,,,,"Quemadores, calderas, respuestos, auditorias energeticas, combustiòn, tratamientos de aguas y servicios de ingenieria",Engineering and Maitaining Services,,,,,,,https://www.gruposinpro.com,59784431,,GT,,,,Guatemala,Guatemala,"7a. Calle 8-26, zona 2, Ciudad, Guatemala",,,,info@gruposinpro.com,,22703338,,,,,,,,de 1 a 25,,,,,,"USD$101,000 - 1,200,000",,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,09/03/2018,,,,,,,,,"Ramírez,Mariana",Nacional,Pequeña,,"País:United States |
Ciudad: ",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Asistencia y Logística Portuaria, S.A",ALOPSA,ALOPSA,1549,Empresa,ES,1,,01/01/1800,,,,,Servicios,,,,"servicios de logística, alamcenaje y conexión de contenedores refrigerados, contenedores estándar y de carga en general.",Customs/ Logistics/Multimodal Transport,,,,,,,,3781436-2,,GT,,,,Guatemala,Guatemala,"2a. Avenida 7-85 zona 14, Guatemala, Guatemala 01014",,1014,,aportmar@interport.com.gt,,22246400,,,,,,,,de 26 a 100,0,,,,,"USD$1,201,000 - 5,000,000",,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,22/03/2018,01/01/1800,,,,,,,,"Requena, Annemarie",Multinacional,Grande,"País:Guatemala |
Ciudad: ","País:United States |
Ciudad: ","País:El Salvador |
Ciudad: ",,"País:Honduras |
Ciudad: ",,"País:Nicaragua |
Ciudad: ",,"País:Costa Rica|
Ciudad: ",,,,,,,,,,,,,,,,,,,,
4,"Aire Libre, S.A",AIRE LIBRE,AIRE LIBRE,4706,Empresa,ES,1,,,,,,,Comercio,,,Arms & Accesories,,Arms & Accesories,,,,https://www.facebook.com/AireLibreGuatemala/,,,https://www.airelibre.com.gt/,717802-6,,GT,,,,Guatemala,Guatemala,2a. Calle 22-65 zona 15 VHI Centro Comercial Metro 15 of. 313,,,,mariadelpilar@airelibre.com.gt,,22134444,,,,,,,,de 1 a 25,,,,,,"USD$1,201,000 - 5,000,000",,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,09/04/2018,,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Lafrasa, S.A",SANDLER TRAINING,SANDLER TRAINING,977,Empresa,ES,1,,01/11/2008,,,,,Servicios,,,,consultants/ Training,Consultants/ Training,,,https://www.linkedin.com/company/sandler-ca/,https://www.facebook.com/SandlerCA/,,,https://www.guatemala.sandler.com,6204993-3,,US,,,,Guatemala,Guatemala,"17 Avenida 19-70 Zona 10, Edificio Torino Of. 1002, Ciudad, Guatemala.",,,,ronald.delvalle@sandler.com,,23631403,,,,,,,,de 1 a 25,3,,,,,"Menos de USD$100,000.00",,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,Regresaron luego de haber salido en 2014.,27/02/2009,28/03/2014,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Carmel Consultoría, S.A.",CARMEL CONSULTORÍA,CARMEL CONSULTORIA,1552,Individual,ES,1,,28/10/2014,,,,,Servicios,,,,,Attorney and legal consultants/Law Firm,,,https://www.linkedin.com/in/daniel-a-78123b13/,https://www.facebook.com/daizenstatd,https://twitter.com/daizenstatd,,,1782415-k,,GT,,,,Guatemala,Guatemala,15 calle 6-38 zona 10 #902,,,,daizenstatd@gmail.com,,40669993,,,,,,,,de 1 a 25,,,,,,,,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,Cambio de membresía individual a empresarial. 10/10/2018,30/04/2018,,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Moises Efraín Miranda,CONFECCIONES HOLAM,CONFECCIONES HOLAM,1553,Empresa,ES,1,,30/10/2000,,,,,Industria,,,"textiles, jeans, playeras, chumpas,etc",,Textile Manufacturers,,,,,,,,2520004-6,,GT,,San Marcos,,San Pedro,Chamac,"6a Avenida Norte 2do. crucero zona 3, Chamac San Pedro, San Marcos",,,,confecciones.olam@hotmail.com,,45769777,,,,,,,,de 1 a 25,,,,,,"Menos de USD$100,000.00",,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,08/05/2018,,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Grupo Tikva, S.A",SHOW TIME GUATEMALA,SHOW TIME GUATEMALA,1556,Empresa,ES,1,,16/06/2017,,,,,Servicios,,,organización de eventos,renta de equipo audiovisual y estructuras para eventos,Events Organization Services,,,,https://www.facebook.com/showtimeguate/,,,,9811470-0,,GT,,,,Guatemala,Guatemala,9a Avenida 15-28 zona 10 oficina 402.,,,,showtime.gt2018@gmail.com,,53011612,,,,,,,,de 1 a 25,,,,,,"Menos de USD$100,000.00",,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,16/05/2018,,,,,,,,,"Requena, Annemarie",Multinacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Administradora Badalona, S.A.",AC HOTEL GUATEMALA,AC HOTEL GUATEMALA,1550,Empresa,ES,1,,01/11/2017,,,,,Servicios,,MARRIOTT INTERNACIONAL,,hotelería,Hotel & Convention Services,,,,https://www.facebook.com/AC-by-Marriott-Guatemala-1981806938744912/,,,https://achotelguatemalacity.com,9316581-1,,GT,,,,Guatemala,Guatemala,"11 Avenida 35-02 Paseo Cayala zona 16. Ciudad, Guatemala",,,,jorge.e.lopez@marriott.com,,22252600,,,,,,,,de 26 a 100,,,,,,"USD$101,000 - 1,200,000",,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,20/04/2018,,,,,,,,,,Multinacional,,"País:United States |
Ciudad: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Laboratorio Inlasa, S.A","LABORATORIO INLASA, S.A",LABORATORIO INLASA,1558,Empresa,ES,1,,04/06/1999,,,,,Servicios,,,,consultants/ training,"Inspection, Verification and Quality Control",,,,https://www.facebook.com/laboratoriosinlasa/,,,https://www.inlasa.com/,1963613-k,,GT,,,,Guatemala,Guatemala,"29 Calle 19-11 zona 12 Col. Santa Rosa II Ciudad, Guatemala",,,,servicioalcliente@laboratorioinlasa.com,,24760337,24769349,,,,,,,de 26 a 100,,,,,,"USD$1,201,000 - 5,000,000",,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,24/05/2018,,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,"País:Guatemala |
Ciudad: ",,"País:Belize |
Ciudad: ",,"País:Honduras |
Ciudad: ",,"País:Nicaragua |
Ciudad: ",,"País:United States |
Ciudad: ",,,,,,,,,,,,,,,,,,,,
